################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         15   0.0000000000000000E+00   1.8109127039613468E-01   9.7518942555326039E-04   2.5835467665883934E-03
         2         16   0.0000000000000000E+00   1.3794682368295430E-01   6.5553658619306769E-04   1.1623929490704816E-03
         2         17  -1.2148148864349677E-26   1.3267232665855291E-01   1.3149689082660907E-03   5.2334776386908670E-03
         2         18  -9.2588654802602000E-25   3.3500235286549362E-01   7.7762528341761544E-03   1.7348955232413057E-02
         2         19   0.0000000000000000E+00   2.8680613131640725E-01   2.6802247518821414E-02   1.0423451061128058E-02
         2         20  -2.4158782116468489E-26   6.1659671668715299E-01   1.5842806879000006E-03   8.0368869959732327E-03
         2         21  -2.3260942037904890E-23   5.4264525688333742E-01   3.1690524328453117E-02   6.9523281603182371E-02
         2         22   0.0000000000000000E+00   3.4624785639569122E-01   7.8660350096839957E-02   2.9874725979732366E-02
         2         23  -5.0946333339332831E-29   1.9270666556498048E-02   1.2293738575117587E-04   4.7145056960421850E-04
         2         24  -2.0963437723603879E-29   6.2118737893789425E-02   1.6615970957409185E-04   4.3285489197965766E-04
         2         25   0.0000000000000000E+00   5.3519634836728842E-02   2.7362827507853893E-04   2.1917509518542261E-04
         2         26  -3.1513926948533275E-27   3.0315280196623801E-01   2.8374222416437887E-04   3.0386569363464837E-03
         2         27  -1.9368243089035601E-23   2.6290334849652458E-01   1.2860640983691458E-02   2.7906469090925447E-02
         2         28   0.0000000000000000E+00   1.1734912901977694E-01   2.1323797573360868E-02   8.3473521614603422E-03
         2         29  -1.7895398281699372E-16   3.5208389576157018E+01   8.2995683768131978E-01   2.1849007881230134E+00
         2         30  -2.1759028012100562E-16   6.2552481679816083E+01   5.4798918976376374E+00   1.0664331124453160E+01
         2         31   0.0000000000000000E+00   9.3160885822880374E+01   4.3899813711825942E+01   1.1713748168969223E+01
         2         32  -3.5588222765670211E-16   4.7148351291068352E+01   6.9407129514287103E-01   1.8680618540753697E+00
         2         33  -2.1555246103877431E-16   6.2523561647129370E+01   5.3761206690476797E+00   1.0514165094856585E+01
         2         34   0.0000000000000000E+00   8.7340442363188373E+01   4.0603325237383515E+01   1.0234913646694466E+01
         2         35  -7.5048876687299682E-19   7.0814638618786567E+00   2.3287905121728325E-01   6.3492746829367885E-01
         2         36  -6.2672472445518420E-17   1.8479741582206106E+01   1.5764397324927437E+00   3.0684647331267074E+00
         2         37   0.0000000000000000E+00   2.6671919586117028E+01   1.2499603348010872E+01   3.4905990553267112E+00
         2         38  -4.6423062514436205E-17   1.4321660364345558E+01   1.2494617603250811E-01   4.0703998685850384E-01
         2         39  -6.1384650148612039E-17   1.7455132315651966E+01   1.4664570942244430E+00   2.8883276873384172E+00
         2         40   0.0000000000000000E+00   2.0853154877817001E+01   9.0779446275005320E+00   2.3185770896374227E+00
         2         41  -1.0543209385314200E-18   4.8827073107075751E+00   1.2581556766663560E-01   3.5684292121333655E-01
         2         42  -6.9791676586516181E-19   8.9119396202987922E+00   6.8162622194726374E-01   1.3958720933200515E+00
         2         43   0.0000000000000000E+00   1.1533545056478415E+01   4.7893724177975372E+00   1.3672477213341503E+00
         2         44  -2.0967070883992398E-18   7.2194559862948946E+00   8.1547048451207332E-02   2.4372612802891205E-01
         2         45  -6.9428587206389948E-19   8.8821333970303655E+00   6.6138093878352899E-01   1.3639512457990741E+00
         2         46   0.0000000000000000E+00   1.0245321229568775E+01   4.1969783405234189E+00   1.1524554313624444E+00
         2         47  -4.4215613902040675E-21   1.4522387092879052E+00   3.8708932324905777E-02   1.1298055896085389E-01
         2         48  -2.0141553833359241E-19   2.5271318886569651E+00   1.9631338166727469E-01   4.0193830996839552E-01
         2         49   0.0000000000000000E+00   3.3296301606781236E+00   1.3698917845989318E+00   4.0542267283635619E-01
         2         50  -2.7350498753512669E-19   2.1628130095612725E+00   9.4087334713822569E-03   3.7703235774443712E-02
         2         51  -1.9949458436637766E-19   2.3619237689416548E+00   1.6889615757563392E-01   3.4993870608934846E-01
         2         52   0.0000000000000000E+00   2.0534819671758804E+00   7.6988988466470054E-01   2.1695743110680729E-01
         2         53  -2.1119102565189728E-24   3.4172646752070246E-01   5.5132804848784358E-03   1.8239012280305771E-02
         2         54  -5.3941236440734478E-25   5.7624650301438918E-01   1.5267161243671386E-02   3.3884248968362694E-02
         2         55   0.0000000000000000E+00   7.0492757774244330E-01   5.5928211601691265E-02   2.3354806655489811E-02
         2         56  -4.1999139380408173E-24   2.5704215956148135E-01   2.8242567516291008E-03   1.0486906192091149E-02
         2         57  -5.3659635723627837E-25   4.1065132826597162E-01   1.4080517753803310E-02   3.1528230330038813E-02
         2         58   0.0000000000000000E+00   4.2460787407996381E-01   4.6253559999559678E-02   1.8731048859032196E-02
